state,resorts_cnt,skiable_area_ac,days_open,terrain_parks,nightskiing_ac
alaska,3,2280.0,345.0,4.0,580.0
arizona,2,1577.0,237.0,6.0,80.0
california,21,25948.0,2738.0,81.0,587.0
colorado,22,43682.0,3258.0,74.0,428.0
connecticut,5,358.0,353.0,10.0,256.0
idaho,12,16396.0,1136.0,27.0,415.0
illinois,4,191.0,221.0,6.0,191.0
indiana,2,165.0,157.0,4.0,165.0
iowa,3,140.0,100.0,5.0,140.0
maine,9,3216.0,865.0,17.0,388.0
maryland,1,172.0,121.0,3.0,118.0
massachusetts,11,1166.0,671.0,18.0,583.0
michigan,28,4406.0,2389.0,63.0,1946.0
minnesota,14,1560.0,1490.0,29.0,1020.0
missouri,2,60.0,69.0,2.0,47.0
montana,12,21410.0,951.0,27.0,710.0
nevada,4,2110.0,415.0,9.0,0.0
new_hampshire,16,3427.0,1847.0,43.0,376.0
new_jersey,2,190.0,170.0,4.0,181.0
new_mexico,9,5223.0,966.0,18.0,50.0
new_york,33,5514.0,2384.0,72.0,2836.0
north_carolina,6,370.0,506.0,9.0,335.0
ohio,5,421.0,489.0,12.0,421.0
oregon,10,11774.0,1180.0,22.0,1127.0
pennsylvania,19,1888.0,1404.0,47.0,1528.0
rhode_island,1,30.0,100.0,1.0,30.0
south_dakota,2,950.0,183.0,3.0,0.0
tennessee,1,0.0,83.0,1.0,0.0
utah,13,30508.0,1544.0,26.0,642.0
vermont,15,7239.0,1777.0,50.0,50.0
virginia,4,269.0,366.0,4.0,135.0
washington,10,15330.0,1022.0,21.0,1997.0
west_virginia,4,542.0,342.0,9.0,187.0
wisconsin,15,1750.0,1519.0,40.0,1065.0
wyoming,8,6523.0,716.0,14.0,110.0
